Title,Link,AuthorProfiles,DearOfPublication,DateOfPublication
Exposed: Nursing Narratives – Racism and the Pandemic,https://pureportal.coventry.ac.uk/en/publications/exposed-nursing-narratives-racism-and-the-pandemic,"[{""name"": ""Fero, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ken-fero""}]",,6 Mar 2022
Feedback and Engagement on an Introductory Programming Module,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,"[{""name"": ""Grawemeyer, B."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer""}, {""name"": ""Halloran, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/john-halloran""}, {""name"": ""England, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/matthew-england""}]",,6 Jan 2022
Figures of a Gender Now Upon Us: The Transfeminine in Contemporary Queer Fiction from the Philippines,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,1 Jan 2022
Foreword by Prof. Katherine Wimpenny,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2022
Gamified flipped classroom versus traditional classroom learning: Which approach is more efficient in business education?,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-,"[{""name"": ""Ayoubi, R."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi""}, {""name"": ""Kamal, M. M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal""}]",,1 Mar 2022
"Global Citizenship Education and Sustainability: overcoming contradictions, tensions, rhetoric, and ‘flaws’: Global Citizenship and Borderland Learning",https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,6 Sept 2022
Global Learning and Assessment; How can global citizenship-oriented curricula enhance teaching training?,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente,"[{""name"": ""Dang, Q."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/que-anh-dang""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2022
Higher education decolonisation: #Whose voices and their geographical locations?,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,27 May 2022
Intra and Inter-Rater Reliability of a Novel Isometric Test of Neck Strength,https://pureportal.coventry.ac.uk/en/publications/intra-and-inter-rater-reliability-of-a-novel-isometric-test-of-ne,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Oxford, S. W."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sam-oxford""}]",,21 Dec 2022
"Knowing, Being, Relating and Expressing through Third Space Global South-North COIL: Digital Inclusion and Equity in International Higher Education",https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Orsini-Jones, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones""}]",,May 2022
